ccn,report_dat,shift,method,offense,block,xblock,yblock,ward,anc,district,psa,neighborho,block_grou,census_tra,voting_pre,latitude,longitude,start_date,end_date,objectid,octo_recor
12014196,2012-01-29T00:00:00.000Z,MIDNIGHT,OTHERS,HOMICIDE,290 - 399 BLOCK OF TAYLOR STREET NE,399884,141428,5,5A,4,405,Cluster 20,009501 3,9501.0,Precinct 68,38.9407419297541,-77.0013380345745,2012-01-29T03:04:00.000Z,2012-01-29T03:05:11.000Z,312508084,12014196-01
12014196,2012-01-29T00:00:00.000Z,MIDNIGHT,OTHERS,HOMICIDE,290 - 399 BLOCK OF TAYLOR STREET NE,399884,141428,5,5A,4,405,Cluster 20,009501 3,9501.0,Precinct 68,38.9407419297541,-77.0013380345745,2012-01-29T03:04:00.000Z,2012-01-29T03:05:11.000Z,312508085,12014196-02
12023826,2012-02-18T05:55:00.000Z,MIDNIGHT,OTHERS,SEX ABUSE,1800 - 1899 BLOCK OF 13TH STREET NW,397430,138552,1,1B,3,305,Cluster 3,004400 2,4400.0,Precinct 22,38.9148302730323,-77.0296336168677,2012-02-18T02:09:00.000Z,2012-02-18T03:15:00.000Z,312508086,12023826-01
12023826,2012-02-18T05:55:00.000Z,MIDNIGHT,OTHERS,SEX ABUSE,1800 - 1899 BLOCK OF 13TH STREET NW,397430,138552,1,1B,3,305,Cluster 3,004400 2,4400.0,Precinct 22,38.9148302730323,-77.0296336168677,2012-02-18T02:09:00.000Z,2012-02-18T03:15:00.000Z,312508087,12023826-02
12082912,2012-06-15T01:22:00.000Z,MIDNIGHT,OTHERS,SEX ABUSE,6900  - 7099 BLOCK OF GEORGIA AVENUE NW,397679,145199,4,4A,4,401,,010300 1,10300.0,Precinct 62,38.9747090208796,-77.0267849881669,2012-06-15T01:00:00.000Z,2012-06-15T01:15:00.000Z,312508139,12082912-02
12075901,2012-06-02T03:45:00.000Z,MIDNIGHT,OTHERS,SEX ABUSE,700 - 999 BLOCK OF FRANKLIN STREET NE,400494,139745,5,5E,5,502,Cluster 21,009302 1,9302.0,Precinct 74,38.925580823891295,-76.99430302977859,2012-06-01T19:50:00.000Z,2012-06-02T08:00:00.000Z,312508140,12075901-01
12075901,2012-06-02T03:45:00.000Z,MIDNIGHT,OTHERS,SEX ABUSE,700 - 999 BLOCK OF FRANKLIN STREET NE,400494,139745,5,5E,5,502,Cluster 21,009302 1,9302.0,Precinct 74,38.925580823891295,-76.99430302977859,2012-06-01T19:50:00.000Z,2012-06-02T08:00:00.000Z,312508141,12075901-02
12094680,2012-07-07T07:48:00.000Z,DAY,OTHERS,SEX ABUSE,2200 - 2399 BLOCK OF NEWTON STREET NE,402326,140690,5,5C,5,503,Cluster 24,009400 3,9400.0,Precinct 71,38.934090736015904,-76.97317260225431,2012-07-07T06:00:00.000Z,2012-07-07T06:30:00.000Z,312508142,12094680-01
12094680,2012-07-07T07:48:00.000Z,DAY,OTHERS,SEX ABUSE,2200 - 2399 BLOCK OF NEWTON STREET NE,402326,140690,5,5C,5,503,Cluster 24,009400 3,9400.0,Precinct 71,38.934090736015904,-76.97317260225431,2012-07-07T06:00:00.000Z,2012-07-07T06:30:00.000Z,312508143,12094680-02
12158316,2012-11-10T00:46:00.000Z,MIDNIGHT,OTHERS,SEX ABUSE,1000 1019  BLOCK OF 48TH STREET NE,405745,137269,7,7C,6,602,Cluster 31,007806 2,7806.0,Precinct 93,38.9032575515206,-76.93376750177751,2012-11-10T00:46:00.000Z,2012-11-10T00:46:00.000Z,312508144,12158316-01
